epoch,acc,loss,val_acc,val_loss
0,0.03379265091863517,10.469035411444237,0.10986842105263157,5.512945064745451
1,0.0692257217847769,5.803087390939708,0.20723684210526316,3.618889645526284
2,0.1118766404199475,4.4336309783414904,0.29276315789473684,3.0516219114002427
3,0.1740485564304462,3.788772980372111,0.3868421052631579,2.5859949388002095
4,0.2417979002624672,3.3194596354416976,0.48947368421052634,2.1926402066883286
5,0.30823490813648297,2.936816326589409,0.5552631578947368,1.8405574120973285
6,0.35679133858267714,2.6351922318691345,0.6118421052631579,1.602599733126791
7,0.42043963254593175,2.3265095038676824,0.655921052631579,1.3688043500247755
8,0.4629265091863517,2.106290092774889,0.694078947368421,1.2001448242287887
9,0.506233595800525,1.8907494663879314,0.7375,1.058879693244633
10,0.5355971128608924,1.7367168200297618,0.7631578947368421,0.9305752173850411
11,0.5779199475065617,1.5692037513719144,0.7756578947368421,0.8445178552677757
12,0.6081036745406824,1.4515541140332309,0.7993421052631579,0.7536871565015693
13,0.6497703412073491,1.282228086642393,0.8118421052631579,0.7144052660778949
14,0.656003937007874,1.2161400203160413,0.8223684210526315,0.6498364396785435
15,0.6687992125984252,1.1575845945382055,0.8322368421052632,0.61711833539762
16,0.6938976377952756,1.0701260035588673,0.8532894736842105,0.5569767169262233
17,0.7065288713910761,1.0047963263168735,0.8592105263157894,0.5298859445672286
18,0.7288385826771654,0.9616862262093177,0.8638157894736842,0.4935316350899245
19,0.7424540682414699,0.8973632417717005,0.8657894736842106,0.47028623003708686
20,0.7545931758530183,0.8405063972072652,0.8802631578947369,0.4472147661604379
21,0.7613188976377953,0.8141670922438303,0.8809210526315789,0.44692674730169146
22,0.7750984251968503,0.7790138520046169,0.8940789473684211,0.3998423579492067
